Category,Product_ID,Screen_Size,Weight,Price,Carbon_Emissions
Laptop,LP0001,14.918256197635221,2.397484050509374,170725.34024725505,239.391236644681
Laptop,LP0002,14.211983196665441,1.8109296359257305,91284.16257769545,196.49162561492065
Laptop,LP0003,14.915104697801295,2.059753096649934,143267.61785353505,284.7001803737373
Laptop,LP0004,13.071898699491996,2.602553413840479,109858.62218539245,341.045230076805
Laptop,LP0005,14.084266082288474,2.441997511152885,183072.16088742253,362.8094827617432
Laptop,LP0006,14.206591022690764,1.2185522532824002,183304.67828359592,399.83571846101944
Laptop,LP0007,16.057301657139476,2.0474321129538855,80433.99622247842,348.35639803840786
Laptop,LP0008,13.970543232667493,1.5737462873799855,32794.28622764541,446.6641354399646
Laptop,LP0009,13.682518606140276,1.5944485868016118,18339.814276885212,314.18804631624073
Laptop,LP0010,14.208685952610102,1.815420000814703,177194.07422373662,267.644301091508
Laptop,LP0011,13.257739832613337,1.700785842317996,46881.57450253655,215.86524820395746
Laptop,LP0012,14.381998855087101,2.2642610918276143,96279.53308786724,269.26937436510457
Laptop,LP0013,13.817973023720278,1.9661292949162388,89797.53192251144,345.51434287658503
Laptop,LP0014,12.375804928719749,1.691166059882608,129179.18799415315,269.28630067484
Laptop,LP0015,14.12785727346373,1.8297257741596693,146659.0186167739,392.33789821462733
Laptop,LP0016,13.866014667556145,1.7823381216182121,170930.0281203952,424.3963583445306
Laptop,LP0017,12.53648015787635,2.281379805673563,139390.55106579638,169.4633874600319
Laptop,LP0018,14.119214407191759,1.5506086973086584,110470.06420584075,387.4379675916399
Laptop,LP0019,15.693051560801656,1.7734760713370024,140040.80163423225,178.22532860489815
Laptop,LP0020,14.714210433334845,1.2715277543748544,161887.96901895863,356.25797407916025
Laptop,LP0021,14.8058438734337,0.5409042679877498,274646.27198046807,411.7601645125975
Laptop,LP0022,12.83064910256488,1.9199328073688093,161239.53318780128,333.56539746843856
Laptop,LP0023,14.669310157324528,2.0105966660104615,85734.80222606738,242.93169527353672
Laptop,LP0024,14.33720081763173,1.3196644882670625,104671.07944727525,289.7305431511482
Laptop,LP0025,14.722038202074316,2.614965508914939,168746.42468190886,311.5564366061976
Laptop,LP0026,14.614435575362421,1.0133766907162762,124577.45336439757,316.90871150246767
Laptop,LP0027,12.81216132799865,1.6585175398367171,282510.3779453906,315.5165885221467
Laptop,LP0028,14.145234547605593,1.558338742997713,124980.38221629843,321.78652146847276
Laptop,LP0029,13.420779460955531,2.298023122333747,206873.957951431,343.58390584782387
Laptop,LP0030,14.136454489946189,2.2707486342545207,82863.7253827152,247.72548162734375
Laptop,LP0031,13.279694335960476,1.7054751353858952,244260.81529362855,312.87936878896056
Laptop,LP0032,15.514194581075436,1.8014706376223635,153725.3136463458,431.53716810641873
Laptop,LP0033,13.318551159357453,1.2570390869050503,177082.860149464,303.2651997887466
